GeneID	GSM6311037	GSM6311038	GSM6311039	GSM6311040	GSM6311041	GSM6311042	GSM6311043	GSM6311044	GSM6311045
102465434	0	1	0	0	0	0	0	0	0
109623456	5	3	6	1	1	3	1	1	1
126789	591	583	453	387	538	530	523	489	433
54973	2037	2185	2167	1866	2308	2128	2234	1974	2105
102465435	17	12	8	4	6	4	5	15	9
80772	872	893	674	669	731	595	662	732	789
83756	36	41	20	24	20	19	12	34	36
1855	2170	2255	2338	1976	2331	2207	2345	1737	1778
102466740	3	4	6	3	4	3	5	1	5
54587	62	90	104	91	72	63	70	36	46
54998	2983	2916	2232	1956	2082	1915	1873	2914	3050
81669	1261	1325	1330	1193	2778	2823	2864	428	449
148413	475	488	353	297	593	507	602	498	553
55052	1660	1662	1119	989	1397	1260	1380	2407	2526
107984868	4	1	5	8	7	0	6	5	4
441869	78	74	137	99	200	168	175	102	69
105378585	14	7	22	20	39	43	46	11	16
643965	18	38	50	75	6	8	13	14	21
102724312	7	4	12	9	26	28	30	2	2
107985729	5	3	9	11	42	38	28	1	2
64856	1693	1739	1431	1229	1418	1231	1443	1226	1269
219293	44	50	59	44	26	25	24	34	30
83858	1831	1912	1131	954	811	826	864	1509	1519
55210	2184	2277	1543	1309	1853	1714	1828	1907	2020
339453	20	22	21	20	5	9	20	5	7
29101	2144	2152	1971	1729	1939	1815	1853	2056	2137
643988	0	0	0	0	45	34	44	0	0
105378586	0	0	0	0	6	4	5	0	0
142678	1709	1789	1506	1155	898	903	995	1204	1197
8510	72	54	41	46	11	16	21	43	36
984	1318	1253	1155	1038	1325	1314	1422	1286	1347
728661	854	878	1092	989	1131	1122	1242	707	713
8511	24	21	12	8	3	19	5	9	8
728642	819	829	685	698	893	870	985	738	802
9906	284	286	466	438	343	326	389	186	180
112268218	62	59	74	63	113	120	122	62	61
65220	848	869	1015	802	2053	2122	2142	810	975
2782	5010	5041	4997	4656	10603	10414	11422	5654	6149
105378949	6	4	9	12	10	6	2	6	1
163688	0	0	1	0	1	1	2	0	1
339456	12	7	15	7	103	94	79	11	3
85452	2	0	0	1	17	18	13	0	2
107984872	0	0	0	1	2	5	2	0	0
105378589	0	0	0	0	1	1	1	0	0
2563	0	0	0	0	36	38	26	0	0
105378590	0	0	0	0	0	0	0	0	0
105378591	0	0	0	0	1	0	0	0	0
5590	435	461	418	419	741	675	703	434	427
100506504	30	25	51	43	13	22	21	15	15
199990	730	808	782	609	523	479	548	627	715
112268219	123	108	78	82	39	57	52	93	89
105378593	0	0	1	0	1	3	8	0	0
6497	1648	1685	1663	1323	1179	1153	1304	1566	1595
79906	230	219	283	204	192	208	210	187	190
100129534	90	90	89	53	48	30	53	59	93
11079	2900	2920	2576	2274	2096	2030	2099	3309	3438
5192	400	341	341	304	756	805	775	352	385
9651	47	58	166	149	160	134	151	40	43
55229	473	509	617	540	785	781	869	492	518
388585	0	0	0	0	0	0	0	0	0
115110	0	0	0	1	14	14	19	0	0
8764	0	1	4	4	69	61	62	2	2
100996583	0	0	0	0	0	0	0	0	1
127281	333	312	353	307	572	521	598	281	294
79258	32	30	41	32	80	76	79	36	34
105378597	0	0	1	0	0	0	0	0	0
100287898	1	2	14	6	2	1	1	0	1
105378603	0	0	0	0	0	0	0	0	0
105378602	0	0	0	0	0	0	0	0	0
105378601	0	0	0	0	0	0	0	0	0
112268220	0	0	0	0	0	0	0	0	0
107985732	0	0	0	0	0	0	0	0	0
105378600	0	0	0	0	0	0	0	0	0
105378598	0	0	0	0	0	0	0	0	0
107984904	0	0	0	0	0	0	0	0	0
105378599	0	0	0	0	0	0	0	0	0
140625	0	0	0	0	0	0	1	0	0
440556	0	0	0	0	0	0	0	0	0
63976	0	0	0	0	1	0	5	0	0
100422968	0	0	0	0	0	0	0	0	0
105378606	0	0	0	0	0	0	0	0	0
107984909	0	0	0	0	0	0	0	0	1
105378605	0	0	0	0	0	0	0	0	0
105378604	0	0	0	0	1	0	0	0	0
27237	928	922	1072	855	2096	1897	1895	558	553
1953	184	205	422	432	1255	1340	1420	36	38
105378608	2	0	2	0	0	1	0	0	0
693135	0	0	0	0	0	0	0	0	0
105378607	0	0	0	0	0	0	0	0	0
127262	606	559	707	617	1377	1308	1326	725	763
49856	687	711	860	793	970	826	896	578	653
7161	23	22	37	45	367	405	374	4	10
105378610	1	0	0	0	0	0	1	0	0
105378609	0	0	0	0	0	1	0	0	0
57212	1	2	0	0	28	43	40	0	0
148870	0	2	1	1	4	3	2	0	0
388588	8	11	20	21	91	76	81	5	4
57470	1668	1732	1610	1368	1570	1431	1552	1869	1881
9731	512	543	583	557	951	911	865	685	779
1677	166	159	230	214	215	173	153	154	163
107984910	9	10	5	5	2	2	1	5	14
339448	448	401	463	393	725	724	758	529	578
100133612	5	7	5	2	2	1	1	0	2
728716	0	0	0	0	0	0	0	0	0
105376672	0	0	0	0	0	0	0	0	0
105376673	0	0	0	0	3	0	1	0	1
284661	0	0	0	0	0	0	0	0	0
105376674	0	0	0	0	0	1	0	0	0
105376679	0	0	0	0	0	0	0	0	0
107985376	2	0	0	0	0	1	2	1	0
55966	0	0	0	0	12	10	14	0	0
105376680	0	0	0	0	0	0	0	0	0
102724429	0	0	0	0	0	0	0	0	0
105376681	0	0	0	0	0	0	0	0	0
105376682	0	0	0	0	0	0	0	0	0
107984911	0	0	0	0	0	0	0	0	0
105376686	0	0	0	0	0	0	0	1	0
100616421	0	0	0	1	1	2	1	0	0
261734	161	161	327	281	523	527	627	145	119
8514	368	364	440	376	916	868	905	173	246
26038	6	2	7	5	3	4	5	2	0
105376687	0	0	0	0	0	0	0	0	0
6146	4525	4431	4112	3743	16966	18301	18919	6078	6706
107985733	54	57	66	43	159	182	182	53	65
102724450	28	0	7	25	15	18	7	2	2
388591	163	195	167	133	461	470	495	35	32
23463	1947	1992	1851	1698	3282	3081	3307	2517	2830
148645	2	3	0	4	19	11	22	3	3
390992	0	0	1	0	0	0	0	0	0
387509	178	187	373	329	218	186	212	148	160
11332	1431	1526	1628	1398	2010	1790	1900	1453	1670
54626	139	120	196	193	342	306	361	103	95
83715	23	28	82	71	156	179	171	17	14
100422975	0	0	0	0	0	0	0	0	0
8718	99	75	120	108	125	124	159	55	28
57449	362	438	460	388	538	556	550	251	231
79707	417	468	259	235	365	370	416	379	392
80835	2	0	0	0	0	1	2	0	0
107984912	0	0	0	0	0	0	0	0	0
3104	197	159	220	191	291	262	333	167	120
9903	708	765	641	551	992	876	1000	944	887
107984913	1	1	4	6	2	7	3	0	2
148479	373	375	411	368	1141	1099	1123	262	347
90326	382	370	356	299	586	587	593	357	332
55735	1080	1079	741	640	1510	1451	1565	1216	1209
100505887	0	0	0	0	0	0	0	0	0
110841581	4	5	1	6	17	5	8	2	3
23261	207	192	222	215	912	867	922	229	310
105376692	0	0	0	0	0	0	0	0	0
102725193	0	0	0	0	0	0	0	0	0
101928836	0	0	0	0	0	0	0	0	0
105376691	0	0	0	0	0	0	0	0	0
105376689	0	0	0	0	8	4	6	0	0
9341	463	498	539	504	2781	3318	3091	733	776
8863	59	66	49	61	657	644	701	26	35
10911	0	0	0	0	0	1	0	0	0
3604	0	1	6	10	2	6	5	1	1
11315	2148	2034	1639	1476	4833	4510	4990	3135	3411
54206	501	471	546	517	1138	1294	1335	821	869
107984915	0	1	0	2	0	0	0	0	0
102724539	0	0	0	0	0	0	2	0	0
105376695	0	0	0	0	1	0	0	0	0
50651	0	0	0	0	6	6	1	0	0
473	735	748	895	780	1057	952	1172	634	601
102724552	0	0	0	0	2	3	1	2	0
106632271	0	0	0	0	0	0	0	0	0
2023	29246	29798	23485	20461	97164	91177	99348	32149	34789
102465436	5	2	2	1	94	5	5	2	2
100505975	6	9	15	5	32	54	31	22	11
112268261	0	0	0	0	0	5	0	0	0
765	0	0	0	0	0	0	0	0	0
155184	0	0	0	0	0	2	3	0	0
6518	0	0	0	0	42	44	45	0	0
80045	105	102	154	160	365	338	345	115	116
106614088	2	2	6	3	86	87	75	0	1
407040	1	0	1	0	1	2	2	0	0
102724571	0	0	1	0	14	16	14	0	1
9563	504	511	921	824	1275	1291	1560	399	472
80176	161	184	328	276	962	974	914	141	187
100506022	3	0	1	4	4	5	4	2	0
84275	300	279	192	213	772	798	776	368	408
199953	883	931	438	422	715	686	720	849	821
107985734	13	20	11	12	23	19	16	20	17
105376712	0	0	0	0	0	0	0	0	0
5293	97	107	328	289	863	880	946	123	100
644997	0	0	0	0	0	0	0	0	0
101929074	3	2	5	5	41	48	32	1	3
22883	2873	3011	3019	2651	5283	5106	5722	2744	2989
56998	497	529	517	489	456	452	519	539	570
105376717	64	50	51	62	64	58	64	82	75
84328	317	272	254	208	657	685	663	512	544
64802	99	98	139	123	185	182	217	183	181
113391335	1	0	0	0	0	0	0	0	0
100847055	0	0	0	0	0	0	0	0	0
116362	0	0	0	0	52	58	52	0	0
10277	953	932	779	683	2210	1975	2300	803	920
23095	907	723	1066	1007	1324	1387	1471	1087	1121
105376725	0	0	1	1	1	0	0	0	0
5226	2128	2069	2252	1911	14188	13717	14478	1971	2101
100526739	82	89	55	46	338	297	340	128	134
378708	85	87	53	47	343	306	344	129	143
1325	5	6	7	6	13	13	17	10	4
1676	2372	2321	2578	2466	3031	2878	3131	2610	2781
5195	416	347	355	330	794	670	762	409	409
54897	197	188	246	196	383	339	352	130	117
105376733	0	0	1	0	0	0	0	0	0
105376735	0	0	0	0	5	1	1	0	0
148345	0	0	0	1	3	5	5	1	0
23435	2825	2664	1562	1609	6360	6976	6957	4187	4251
10747	12	21	5	8	27	40	44	5	14
6723	1317	1372	942	896	1274	1105	1155	1618	1631
5394	947	914	708	757	2991	2983	2928	1024	1185
105376736	26	38	25	28	165	157	150	60	71
2475	1645	1648	1146	1134	3225	2935	3514	1634	1797
100873935	29	22	19	15	71	46	70	41	39
10218	0	0	1	0	2	0	0	0	2
29914	570	538	316	243	546	521	533	637	683
105376737	0	0	0	0	5	3	4	0	0
105376739	0	0	0	0	0	0	0	0	0
105376740	0	0	0	0	0	0	1	0	0
57540	13	9	11	21	0	1	3	9	4
112268221	3	1	1	1	0	0	1	0	0
101929181	1	1	0	0	0	0	1	2	2
26232	296	290	852	703	3706	3393	3513	188	202
93611	282	315	482	396	1039	971	948	230	220
26270	73	103	159	151	113	113	105	79	72
10459	576	550	452	425	1418	1390	1475	477	529
374946	0	0	1	0	0	0	0	0	0
57085	331	345	435	380	1324	1275	1338	374	372
284498	28	36	43	25	141	133	149	22	18
102724659	0	0	0	0	0	0	0	0	0
4524	139	127	140	133	587	524	557	93	85
1185	192	204	190	177	610	625	681	74	83
100379251	39	25	19	20	83	79	103	12	10
4878	5	9	0	4	9	9	6	4	0
4879	2	2	1	1	0	0	2	0	1
26829	0	0	0	0	0	0	0	0	0
90231	1052	1104	1007	832	2169	1996	2115	1024	1027
5351	1235	1363	1246	1030	2357	2048	2315	1133	1216
9927	3893	4107	3670	3304	6692	6014	6759	4340	4743
60672	229	248	368	277	623	610	605	174	192
102466982	1	3	1	2	1	2	1	1	0
943	1	0	3	2	11	7	13	1	1
102465836	0	0	0	0	0	0	0	0	0
7133	0	0	0	0	2	4	6	1	1
100616438	0	0	0	0	0	0	0	0	0
107984917	0	0	0	0	0	0	0	0	0
55187	579	574	756	715	1514	1508	1774	586	652
677885	0	3	4	4	3	7	7	1	0
105376744	0	0	0	0	2	1	1	0	2
9249	205	183	588	530	2381	2254	2193	109	112
102466722	1	0	1	3	5	2	5	0	2
343066	0	0	0	0	0	0	0	0	0
126767	0	0	0	0	0	0	0	0	0
93190	0	0	0	0	0	0	0	0	0
390999	0	0	0	0	1	0	0	0	0
65121	0	0	0	0	0	0	0	0	0
105376745	0	0	0	0	0	0	0	0	0
440560	0	0	0	0	0	0	0	0	0
343069	0	0	0	0	0	0	0	1	1
65122	0	0	0	0	0	0	0	0	0
400735	0	0	0	0	0	0	0	0	0
343071	0	0	0	0	0	0	0	0	0
441871	0	0	0	0	0	0	0	0	0
440561	0	0	0	0	0	0	0	0	0
101929983	0	0	0	0	0	0	0	0	1
649330	0	0	0	0	1	0	0	0	0
441873	0	0	0	0	1	0	0	0	0
649324	0	0	0	0	0	0	0	0	0
440563	0	0	0	0	0	0	0	0	0
645354	0	0	0	0	0	0	0	0	0
645359	0	0	0	0	0	0	0	0	0
101060301	0	0	0	0	0	0	0	0	0
343070	0	0	0	0	0	0	0	0	0
400736	0	0	0	0	0	0	0	0	0
391003	0	0	0	0	0	0	0	0	0
343068	0	0	0	0	1	0	0	0	0
391002	0	0	0	0	1	0	0	0	0
645382	0	0	0	0	0	0	0	0	0
653619	0	0	0	0	0	0	1	0	0
729528	0	0	0	0	0	0	0	0	0
645414	0	0	0	0	0	0	0	0	0
391004	0	0	0	0	0	0	0	0	0
645425	0	0	0	0	0	0	0	0	0
126755	0	0	0	0	1	4	2	0	0
102724856	0	0	0	0	0	1	0	0	0
107984918	0	0	0	0	0	1	0	0	0
10630	325	331	344	305	642	589	644	303	324
107984919	0	3	2	0	2	1	0	0	0
105378612	1	1	0	0	1	3	2	0	2
105376756	0	0	0	0	0	0	0	0	0
7799	417	426	389	357	797	822	913	445	408
23254	435	443	381	301	1302	1214	1352	320	338
107985467	1	0	0	0	0	0	0	0	0
107985468	0	0	0	0	0	0	0	0	0
105376762	2	6	2	0	0	1	0	4	7
105376759	0	0	0	0	0	0	0	0	0
107985469	0	0	0	3	11	11	5	0	0
200197	19	14	45	39	45	54	69	13	12
55092	173	163	263	213	616	578	667	173	151
727684	0	0	0	0	1	0	0	0	0
114827	27	20	46	28	191	217	210	20	22
101927417	5	4	6	2	15	30	29	0	4
101927441	3	2	7	8	6	5	9	1	0
79180	5376	5340	6692	5750	8208	7665	8182	4774	5076
11330	0	0	1	0	0	3	4	0	0
63036	0	0	0	0	1	1	2	0	0
105376767	0	0	0	0	0	0	0	0	0
51032	3	0	2	6	10	5	12	2	0
842	170	177	158	140	579	561	565	130	149
23341	225	211	126	146	710	771	780	191	282
107397391	0	0	0	0	0	0	0	0	0
79814	121	114	108	71	162	183	164	154	196
84301	948	842	624	554	1258	1363	1467	1523	1523
6248	187	165	112	112	210	228	231	254	259
23207	852	850	999	913	1661	1454	1559	703	718
284723	10	1	5	6	6	3	8	5	5
110806303	1	0	0	0	0	1	0	1	1
388595	0	0	0	0	0	0	0	0	0
54751	947	887	1132	882	956	1026	986	851	986
440567	123	110	95	83	73	78	91	107	142
729614	35	34	45	40	172	192	166	38	55
23013	1413	1449	1364	1338	2164	2212	2788	1499	1588
7709	360	377	422	367	553	543	640	292	303
149563	0	0	0	0	0	0	0	0	0
27129	0	1	0	0	10	2	7	0	0
1187	2	0	0	0	4	17	11	0	0
1188	1	0	1	1	0	0	2	0	0
348487	109	77	243	269	205	196	213	44	57
1969	3654	3648	1766	1502	5163	5249	5376	3135	3233
101927479	83	64	63	36	20	22	26	60	60
128272	102	96	167	152	1253	1116	1319	28	20
101927546	0	0	13	14	79	86	87	1	3
79363	34	25	63	47	106	84	101	53	44
54455	256	222	216	211	654	540	652	307	274
26099	2143	2171	1604	1466	3094	2883	3135	2572	2718
374955	953	997	792	716	1468	1424	1507	1181	1189
55707	728	771	749	642	1214	1211	1285	770	839
107984921	6	2	4	9	6	4	8	4	4
114819	17	17	39	40	54	53	55	7	8
26871	0	0	0	1	1	1	0	0	0
107985757	0	0	0	0	0	0	0	0	0
100132147	0	0	0	0	1	2	2	1	0
107985758	0	0	0	0	1	1	1	0	0
7195	0	0	0	0	0	0	0	0	0
55672	270	242	234	227	724	789	926	327	316
105376794	235	227	276	306	188	184	220	56	58
84809	134	129	143	128	259	192	222	38	34
11209	6	6	10	4	51	43	44	2	1
107985736	0	0	0	1	5	15	10	0	0
26869	0	0	0	0	0	1	0	0	0
107985759	0	0	0	0	0	0	0	0	0
284729	0	0	0	0	11	7	4	0	0
100189045	0	0	0	0	0	0	1	0	0
6060	0	0	0	0	0	1	0	0	0
11223	5	3	4	11	31	21	23	1	2
100500876	0	0	0	0	0	0	0	0	0
100189298	0	0	0	0	0	0	0	0	0
112267871	0	0	0	1	11	4	11	0	1
7193	0	0	0	0	2	0	4	0	0
100189183	0	0	0	0	0	0	0	0	0
105376805	0	0	0	0	22	32	22	0	0
791226	0	0	0	0	0	0	0	0	0
26870	0	0	0	0	0	0	0	0	0
9696	195	209	175	148	959	882	963	98	107
4237	0	0	1	1	207	215	268	4	0
105376806	0	0	0	0	63	57	65	2	3
23400	799	819	1106	993	1530	1376	1517	748	747
6390	1494	1367	1350	1210	3518	3186	3440	1549	1598
11240	23	13	13	14	1566	1657	1754	9	11
105376808	0	0	0	0	0	0	0	0	0
400743	0	0	0	0	4	5	8	2	0
29943	36	35	16	15	18	21	26	16	19
51702	8	9	6	7	2213	2163	2210	2	11
100616188	0	0	0	0	5	6	11	0	0
23569	0	0	0	0	6	1	7	2	0
353238	0	0	0	0	1	1	0	0	0
55920	3197	3115	2158	1901	10521	10049	10655	3200	3044
55160	75	83	212	176	843	751	839	69	77
107984028	0	0	0	0	0	0	0	0	0
81569	2	1	3	4	5	4	3	0	3
105376809	0	0	0	0	0	0	0	0	0
105376812	0	0	0	0	0	0	0	0	0
101927876	0	0	0	0	0	0	0	0	0
84966	0	0	0	0	0	0	0	0	0
105376814	0	0	0	0	0	0	0	0	0
127707	35	37	36	17	1	1	1	22	38
5081	0	0	0	0	47	48	55	0	0
80834	0	0	0	0	0	0	0	0	0
8659	345	350	462	378	622	634	668	405	390
100616120	0	0	0	1	0	0	0	0	0
100302276	0	0	0	0	0	0	0	0	0
126917	1120	1135	960	839	1371	1352	1559	1409	1492
105376815	1	1	0	0	3	3	4	1	3
23352	5016	5264	6356	5531	7229	6975	8523	4047	4250
101927895	42	58	32	43	124	95	135	61	49
23065	947	978	722	623	1914	1897	2172	1070	1121
51154	1764	1788	841	663	1713	1593	1598	2058	2250
246181	2	3	6	5	10	7	11	1	0
22977	5	6	17	14	7	11	6	3	0
100506730	33	32	35	29	57	53	59	24	23
8574	745	710	857	679	2000	1789	1815	704	798
54896	164	158	189	159	278	267	275	108	125
832	2062	2100	1631	1580	3495	3215	3468	2246	2320
105376819	0	0	0	0	0	0	0	0	0
105376818	0	0	0	0	0	0	0	0	0
105376817	0	0	0	0	0	0	0	0	0
105378614	0	0	0	0	1	0	0	0	0
440574	340	318	205	158	743	843	810	543	605
100532736	334	341	442	403	846	764	856	606	578
644068	27	32	28	43	9	14	26	33	35
4681	244	239	382	353	418	355	425	329	305
3362	2	2	0	0	0	0	0	0	0
255104	231	188	273	254	248	217	269	248	259
54546	0	0	0	0	0	0	0	0	0
105376823	0	0	0	0	0	2	0	0	0
23252	188	209	214	229	527	584	604	107	102
30814	0	0	0	0	0	0	0	0	0
5320	0	0	0	0	0	0	0	0	0
5322	0	0	0	0	0	0	0	0	0
26279	0	0	0	0	0	0	0	0	0
64600	0	0	0	0	2	0	2	0	0
391013	0	0	0	0	0	0	0	0	0
127733	0	0	0	0	0	4	12	0	0
101928017	0	0	0	0	0	0	0	0	0
105376825	0	0	1	0	3	2	0	0	0
105376826	0	1	0	2	6	6	5	1	0
105376827	0	0	0	0	0	0	0	0	0
105376828	0	0	0	0	0	0	0	0	0
127731	0	0	0	0	0	0	0	0	0
339505	0	0	0	0	0	0	0	0	0
55450	212	197	428	368	383	468	379	321	335
79594	560	612	419	364	934	875	897	761	747
163933	0	0	0	0	0	0	0	0	0
978	15	9	18	24	257	283	309	6	8
65018	377	354	609	545	589	593	577	409	399
102464833	21	22	41	41	44	47	48	27	25
100861548	428	403	494	451	675	647	631	496	497
1650	3691	3619	4036	3527	7425	6959	7302	3975	4247
57576	14	7	13	14	2	8	6	13	10
400745	296	348	425	320	127	117	142	436	436
112268222	326	272	276	264	784	921	920	225	266
50809	1851	1739	1740	1615	4463	4609	5056	1431	1522
8672	986	818	722	772	3326	3613	3868	1499	1416
105376830	1	0	1	0	0	2	0	0	0
105376829	0	1	0	0	0	2	0	2	0
100302155	0	0	0	0	0	0	0	0	0
1889	1158	1211	1379	1204	2716	2618	2818	1180	1362
100506801	0	2	0	1	3	2	1	1	1
105376832	0	0	0	0	0	0	0	0	0
84224	203	157	216	191	799	772	761	182	159
249	0	0	0	0	10	12	20	1	0
105376834	0	0	0	0	0	0	0	0	0
5909	177	180	331	296	555	586	619	166	151
84196	386	363	339	341	2266	2534	2449	475	545
401944	107	106	135	123	307	314	349	53	57
3339	1437	1516	2324	1951	4182	3992	5002	802	915
23436	0	0	0	0	0	0	0	0	0
10136	0	0	0	0	0	0	0	2	0
101928043	0	3	5	5	6	8	10	1	0
29092	49	52	59	71	264	269	245	51	58
112268223	1	1	1	1	27	26	32	3	3
998	2966	2684	1666	1541	9400	11266	10528	3996	4012
54361	15	7	98	74	942	972	1010	5	4
105376845	12	2	1	3	83	80	72	1	4
105376850	1	3	1	1	4	2	6	0	1
107985377	0	0	0	0	18	8	17	0	0
100616433	0	0	0	0	0	0	0	0	0
105376856	0	0	0	0	0	0	0	0	0
9923	473	412	470	465	552	547	625	401	427
2046	1	1	0	0	1	0	0	0	0
102466615	0	0	0	0	0	0	0	0	0
712	0	0	0	0	0	0	0	0	0
714	0	0	0	0	0	0	0	0	0
713	0	0	0	0	0	0	0	0	0
2048	515	536	733	650	2224	2074	2391	555	647
100616391	0	0	0	0	0	0	0	0	0
100422914	20	18	24	18	71	81	72	14	20
646262	0	0	0	0	0	0	0	0	0
729059	0	1	0	4	6	3	1	0	0
23028	2160	2069	1753	1632	6627	6649	6943	2020	2101
100422866	0	0	0	0	0	1	0	0	0
7798	1271	1228	1021	959	2186	2022	2350	1475	1650
3352	79	86	62	60	70	87	79	48	62
100996511	9	6	32	14	57	89	82	0	0
10236	3076	2934	2276	2219	8077	8185	8608	4484	4837
80818	174	192	237	248	642	737	756	231	258
148898	13	19	54	50	133	132	161	6	4
6920	2	7	2	5	3	10	6	2	4
55616	59	61	76	65	832	786	828	29	26
1870	298	320	247	220	363	306	321	177	201
101928163	12	13	8	5	8	13	9	6	5
105376859	7	3	3	11	45	35	30	1	5
3399	571	615	380	310	8016	7528	7560	384	428
107984928	0	0	0	0	9	12	4	0	1
259283	0	0	0	0	2	1	0	0	0
6135	8609	8385	8206	7586	20174	20377	21259	9706	10943
6924	1150	1220	746	717	1759	1670	1706	1599	1541
100506963	77	84	64	57	182	178	184	146	137
57095	635	668	394	402	1484	1485	1474	790	831
105376860	120	140	100	78	295	232	253	199	226
11313	1434	1402	1220	937	1569	1424	1557	1344	1394
2582	490	477	628	517	1637	1519	1660	523	542
3155	97	112	145	123	907	835	901	133	169
105376861	1	0	0	2	16	26	20	1	1
2517	90	79	129	120	491	496	463	112	128
1269	0	2	0	0	0	0	1	0	1
107984929	0	0	0	0	0	0	0	0	0
100616492	0	0	0	0	0	0	0	0	0
55629	689	708	530	464	3057	3449	3383	1040	1109
10772	1697	1492	1078	1023	4567	5224	5302	2615	2667
105378615	0	0	0	0	0	0	0	0	0
105376863	1	0	0	0	2	4	8	0	0
107984931	0	0	0	0	0	0	0	0	0
127294	0	0	0	2	11	2	7	0	0
107985737	0	0	0	0	0	0	0	0	0
105376864	0	0	0	0	0	0	0	0	0
58985	33	33	58	66	189	157	223	19	35
163702	0	0	0	0	427	386	406	0	0
284632	0	0	1	0	3	2	1	0	0
105376871	0	0	0	0	15	16	13	0	0
57822	1	2	35	24	196	180	169	1	1
90529	42	38	84	62	265	252	245	54	70
57185	355	366	821	714	957	788	969	696	723
100750325	0	1	2	0	1	3	2	0	2
11123	197	215	237	187	777	782	849	202	213
100506985	3	8	5	4	28	34	39	6	7
400746	0	0	0	0	0	0	0	0	0
10250	1319	1283	946	918	3252	3347	3489	1521	1559
25932	1223	1050	1354	1218	6204	7480	7409	2029	2267
105376876	0	0	0	0	0	0	0	0	0
864	0	0	0	0	183	206	224	0	0
102465437	0	0	0	0	0	0	0	0	0
107984932	0	0	0	0	0	2	0	0	0
105376878	0	0	2	3	6	2	3	1	0
100616365	0	0	0	0	0	0	0	0	0
105376879	0	0	0	0	0	0	0	0	0
25949	293	272	231	265	1027	1104	1125	724	771
57035	264	247	438	369	729	936	981	106	92
105376882	0	0	1	0	0	0	0	0	0
6007	2	2	5	5	5	8	5	0	3
23585	475	428	417	425	1889	2040	1937	796	804
6006	245	230	199	204	641	700	702	346	339
55219	176	146	165	125	271	302	243	255	268
26119	541	558	399	337	1091	1011	1164	460	548
57134	3	4	7	4	41	41	29	2	5
57190	1510	1436	1915	1584	2127	2038	2204	1252	1422
56181	259	267	258	214	309	346	335	280	237
646471	49	51	66	45	100	103	111	44	58
79000	245	258	244	214	585	602	591	309	267
164091	955	944	858	837	636	686	709	1040	1017
3925	3023	2680	2768	2629	6532	6866	6870	2919	3149
100500808	277	241	274	244	699	624	693	320	309
105376885	0	0	0	0	0	0	0	0	0
5051	235	265	211	181	254	225	208	305	320
101928216	0	1	0	0	2	0	2	0	1
