GeneID	GSM6311037	GSM6311038	GSM6311039	GSM6311040
54626	139	120	196	193
83715	23	28	82	71
100422975	0	0	0	0
8718	99	75	120	108
57449	362	438	460	388
79707	417	468	259	235
80835	2	0	0	0
107984912	0	0	0	0
3104	197	159	220	191
9903	708	765	641	551
107984913	1	1	4	6
148479	373	375	411	368
90326	382	370	356	299
55735	1080	1079	741	640
100505887	0	0	0	0
110841581	4	5	1	6
23261	207	192	222	215
105376692	0	0	0	0
102725193	0	0	0	0
101928836	0	0	0	0
105376691	0	0	0	0
105376689	0	0	0	0
9341	463	498	539	504
8863	59	66	49	61
10911	0	0	0	0
3604	0	1	6	10
11315	2148	2034	1639	1476
54206	501	471	546	517
107984915	0	1	0	2
102724539	0	0	0	0
105376695	0	0	0	0
50651	0	0	0	0
473	735	748	895	780
102724552	0	0	0	0
106632271	0	0	0	0
2023	29246	29798	23485	20461
102465436	5	2	2	1
100505975	6	9	15	5
112268261	0	0	0	0
765	0	0	0	0
155184	0	0	0	0
6518	0	0	0	0
80045	105	102	154	160
106614088	2	2	6	3
407040	1	0	1	0
102724571	0	0	1	0
9563	504	511	921	824
80176	161	184	328	276
100506022	3	0	1	4
84275	300	279	192	213
199953	883	931	438	422
107985734	13	20	11	12
105376712	0	0	0	0
5293	97	107	328	289
644997	0	0	0	0
101929074	3	2	5	5
22883	2873	3011	3019	2651
56998	497	529	517	489
105376717	64	50	51	62
84328	317	272	254	208
64802	99	98	139	123
113391335	1	0	0	0
100847055	0	0	0	0
116362	0	0	0	0
10277	953	932	779	683
23095	907	723	1066	1007
105376725	0	0	1	1
5226	2128	2069	2252	1911
100526739	82	89	55	46
378708	85	87	53	47
1325	5	6	7	6
1676	2372	2321	2578	2466
5195	416	347	355	330
54897	197	188	246	196
105376733	0	0	1	0
105376735	0	0	0	0
148345	0	0	0	1
23435	2825	2664	1562	1609
10747	12	21	5	8
6723	1317	1372	942	896
5394	947	914	708	757
105376736	26	38	25	28
2475	1645	1648	1146	1134
100873935	29	22	19	15
10218	0	0	1	0
29914	570	538	316	243
105376737	0	0	0	0
105376739	0	0	0	0
105376740	0	0	0	0
57540	13	9	11	21
112268221	3	1	1	1
101929181	1	1	0	0
26232	296	290	852	703
93611	282	315	482	396
26270	73	103	159	151
10459	576	550	452	425
374946	0	0	1	0
57085	331	345	435	380
284498	28	36	43	25
102724659	0	0	0	0
4524	139	127	140	133
1185	192	204	190	177
100379251	39	25	19	20
4878	5	9	0	4
4879	2	2	1	1
26829	0	0	0	0
90231	1052	1104	1007	832
5351	1235	1363	1246	1030
9927	3893	4107	3670	3304
60672	229	248	368	277
102466982	1	3	1	2
943	1	0	3	2
102465836	0	0	0	0
7133	0	0	0	0
100616438	0	0	0	0
107984917	0	0	0	0
55187	579	574	756	715
677885	0	3	4	4
105376744	0	0	0	0
9249	205	183	588	530
102466722	1	0	1	3
343066	0	0	0	0
126767	0	0	0	0
93190	0	0	0	0
390999	0	0	0	0
65121	0	0	0	0
105376745	0	0	0	0
440560	0	0	0	0
343069	0	0	0	0
65122	0	0	0	0
400735	0	0	0	0
343071	0	0	0	0
441871	0	0	0	0
440561	0	0	0	0
101929983	0	0	0	0
649330	0	0	0	0
441873	0	0	0	0
649324	0	0	0	0
440563	0	0	0	0
645354	0	0	0	0
645359	0	0	0	0
101060301	0	0	0	0
343070	0	0	0	0
400736	0	0	0	0
391003	0	0	0	0
343068	0	0	0	0
391002	0	0	0	0
645382	0	0	0	0
653619	0	0	0	0
729528	0	0	0	0
645414	0	0	0	0
391004	0	0	0	0
645425	0	0	0	0
126755	0	0	0	0
102724856	0	0	0	0
107984918	0	0	0	0
10630	325	331	344	305
107984919	0	3	2	0
105378612	1	1	0	0
105376756	0	0	0	0
7799	417	426	389	357
23254	435	443	381	301
107985467	1	0	0	0
107985468	0	0	0	0
105376762	2	6	2	0
105376759	0	0	0	0
107985469	0	0	0	3
200197	19	14	45	39
55092	173	163	263	213
727684	0	0	0	0
114827	27	20	46	28
101927417	5	4	6	2
101927441	3	2	7	8
79180	5376	5340	6692	5750
11330	0	0	1	0
63036	0	0	0	0
105376767	0	0	0	0
51032	3	0	2	6
842	170	177	158	140
23341	225	211	126	146
107397391	0	0	0	0
79814	121	114	108	71
84301	948	842	624	554
6248	187	165	112	112
23207	852	850	999	913
284723	10	1	5	6
110806303	1	0	0	0
388595	0	0	0	0
54751	947	887	1132	882
440567	123	110	95	83
729614	35	34	45	40
23013	1413	1449	1364	1338
7709	360	377	422	367
149563	0	0	0	0
27129	0	1	0	0
1187	2	0	0	0
1188	1	0	1	1
348487	109	77	243	269
1969	3654	3648	1766	1502
101927479	83	64	63	36
128272	102	96	167	152
101927546	0	0	13	14
79363	34	25	63	47
54455	256	222	216	211
26099	2143	2171	1604	1466
374955	953	997	792	716
55707	728	771	749	642
107984921	6	2	4	9
114819	17	17	39	40
26871	0	0	0	1
107985757	0	0	0	0
100132147	0	0	0	0
107985758	0	0	0	0
7195	0	0	0	0
55672	270	242	234	227
105376794	235	227	276	306
84809	134	129	143	128
11209	6	6	10	4
107985736	0	0	0	1
26869	0	0	0	0
107985759	0	0	0	0
284729	0	0	0	0
100189045	0	0	0	0
6060	0	0	0	0
11223	5	3	4	11
100500876	0	0	0	0
100189298	0	0	0	0
112267871	0	0	0	1
7193	0	0	0	0
100189183	0	0	0	0
105376805	0	0	0	0
791226	0	0	0	0
26870	0	0	0	0
9696	195	209	175	148
4237	0	0	1	1
105376806	0	0	0	0
23400	799	819	1106	993
6390	1494	1367	1350	1210
11240	23	13	13	14
105376808	0	0	0	0
400743	0	0	0	0
29943	36	35	16	15
51702	8	9	6	7
100616188	0	0	0	0
23569	0	0	0	0
353238	0	0	0	0
55920	3197	3115	2158	1901
55160	75	83	212	176
107984028	0	0	0	0
81569	2	1	3	4
105376809	0	0	0	0
105376812	0	0	0	0
101927876	0	0	0	0
84966	0	0	0	0
105376814	0	0	0	0
127707	35	37	36	17
5081	0	0	0	0
80834	0	0	0	0
8659	345	350	462	378
100616120	0	0	0	1
100302276	0	0	0	0
126917	1120	1135	960	839
105376815	1	1	0	0
23352	5016	5264	6356	5531
101927895	42	58	32	43
23065	947	978	722	623
51154	1764	1788	841	663
246181	2	3	6	5
22977	5	6	17	14
100506730	33	32	35	29
8574	745	710	857	679
54896	164	158	189	159
832	2062	2100	1631	1580
105376819	0	0	0	0
105376818	0	0	0	0
105376817	0	0	0	0
105378614	0	0	0	0
440574	340	318	205	158
100532736	334	341	442	403
644068	27	32	28	43
4681	244	239	382	353
3362	2	2	0	0
255104	231	188	273	254
54546	0	0	0	0
105376823	0	0	0	0
23252	188	209	214	229
30814	0	0	0	0
5320	0	0	0	0
5322	0	0	0	0
26279	0	0	0	0
64600	0	0	0	0
391013	0	0	0	0
127733	0	0	0	0
101928017	0	0	0	0
105376825	0	0	1	0
105376826	0	1	0	2
105376827	0	0	0	0
105376828	0	0	0	0
127731	0	0	0	0
339505	0	0	0	0
55450	212	197	428	368
79594	560	612	419	364
163933	0	0	0	0
978	15	9	18	24
65018	377	354	609	545
102464833	21	22	41	41
100861548	428	403	494	451
1650	3691	3619	4036	3527
57576	14	7	13	14
400745	296	348	425	320
112268222	326	272	276	264
50809	1851	1739	1740	1615
8672	986	818	722	772
105376830	1	0	1	0
105376829	0	1	0	0
100302155	0	0	0	0
1889	1158	1211	1379	1204
100506801	0	2	0	1
105376832	0	0	0	0
84224	203	157	216	191
249	0	0	0	0
105376834	0	0	0	0
5909	177	180	331	296
84196	386	363	339	341
401944	107	106	135	123
3339	1437	1516	2324	1951
23436	0	0	0	0
10136	0	0	0	0
101928043	0	3	5	5
29092	49	52	59	71
112268223	1	1	1	1
998	2966	2684	1666	1541
54361	15	7	98	74
105376845	12	2	1	3
105376850	1	3	1	1
107985377	0	0	0	0
100616433	0	0	0	0
105376856	0	0	0	0
9923	473	412	470	465
2046	1	1	0	0
102466615	0	0	0	0
712	0	0	0	0
714	0	0	0	0
713	0	0	0	0
2048	515	536	733	650
100616391	0	0	0	0
100422914	20	18	24	18
646262	0	0	0	0
729059	0	1	0	4
23028	2160	2069	1753	1632
100422866	0	0	0	0
7798	1271	1228	1021	959
3352	79	86	62	60
100996511	9	6	32	14
10236	3076	2934	2276	2219
80818	174	192	237	248
148898	13	19	54	50
6920	2	7	2	5
55616	59	61	76	65
1870	298	320	247	220
101928163	12	13	8	5
105376859	7	3	3	11
3399	571	615	380	310
107984928	0	0	0	0
259283	0	0	0	0
6135	8609	8385	8206	7586
6924	1150	1220	746	717
100506963	77	84	64	57
57095	635	668	394	402
105376860	120	140	100	78
11313	1434	1402	1220	937
2582	490	477	628	517
3155	97	112	145	123
105376861	1	0	0	2
2517	90	79	129	120
1269	0	2	0	0
107984929	0	0	0	0
100616492	0	0	0	0
55629	689	708	530	464
10772	1697	1492	1078	1023
105378615	0	0	0	0
105376863	1	0	0	0
107984931	0	0	0	0
127294	0	0	0	2
107985737	0	0	0	0
105376864	0	0	0	0
58985	33	33	58	66
163702	0	0	0	0
284632	0	0	1	0
105376871	0	0	0	0
57822	1	2	35	24
90529	42	38	84	62
57185	355	366	821	714
100750325	0	1	2	0
11123	197	215	237	187
100506985	3	8	5	4
400746	0	0	0	0
10250	1319	1283	946	918
25932	1223	1050	1354	1218
105376876	0	0	0	0
864	0	0	0	0
102465437	0	0	0	0
107984932	0	0	0	0
105376878	0	0	2	3
100616365	0	0	0	0
105376879	0	0	0	0
25949	293	272	231	265
57035	264	247	438	369
105376882	0	0	1	0
6007	2	2	5	5
23585	475	428	417	425
6006	245	230	199	204
55219	176	146	165	125
26119	541	558	399	337
57134	3	4	7	4
57190	1510	1436	1915	1584
56181	259	267	258	214
646471	49	51	66	45
79000	245	258	244	214
164091	955	944	858	837
3925	3023	2680	2768	2629
100500808	277	241	274	244
105376885	0	0	0	0
5051	235	265	211	181
101928216	0	1	0	0
2134	3	0	5	1
7780	0	0	0	0
105376910	0	0	0	0
84676	0	0	0	0
149420	113	99	72	72
105376886	3	0	0	0
79927	5	0	1	2
110806296	0	0	0	0
51042	583	584	445	291
10256	300	320	307	293
378807	1	0	0	0
101928303	0	0	0	0
64793	579	605	676	646
83442	1499	1618	1674	1470
91544	143	122	138	101
1043	1	0	0	1
55057	802	771	985	915
257101	0	0	0	0
79727	3	0	3	1
79947	543	534	376	349
101928324	2	1	0	4
3151	6234	5933	4113	3636
6195	1318	1373	1087	942
100302190	0	0	2	1
105376888	0	0	0	0
101928728	4	7	1	0
8289	1826	1758	1752	1560
55650	170	163	289	217
84243	579	522	554	450
2810	5898	6338	4615	4038
54707	710	698	629	528
63906	221	226	172	143
10726	3006	3031	2537	2338
8431	0	0	1	0
126695	225	199	233	242
388610	193	175	163	174
115572	271	236	143	117
101928391	0	2	2	2
6548	720	724	617	527
102723760	0	0	0	0
105376890	0	0	0	1
23038	398	471	805	703
84065	559	520	404	327
644961	24	27	15	11
84958	206	217	373	318
9064	547	562	435	412
8547	1	2	0	0
388611	0	0	0	0
2827	42	35	46	42
10163	2036	2058	2258	1943
105376892	1	1	0	2
27245	527	557	564	491
2268	0	0	0	0
111216282	0	0	0	0
2537	3	2	23	24
199870	36	32	58	48
23673	277	262	247	238
5511	706	712	490	519
677774	0	0	1	1
9473	0	3	0	1
6118	773	803	605	600
27293	27	11	44	40
55113	123	101	125	110
2140	415	438	490	421
5724	208	162	197	205
22826	1293	1320	926	885
93974	630	536	484	459
83667	165	168	335	334
54797	189	205	186	191
65979	850	823	986	913
1104	2935	2928	2280	2068
8420	824	780	886	872
6080	31	21	22	15
26768	31	24	23	16
54952	252	207	195	157
85028	294	284	230	187
692212	6	8	9	13
677838	44	36	27	21
677825	6	7	6	5
692073	27	31	13	17
115273	5	2	5	3
6883	286	272	332	287
105378616	5	2	1	1
26824	0	0	0	0
10691	285	273	177	175
51441	939	931	643	562
4985	0	0	4	0
2035	530	583	780	713
399474	333	327	286	244
6429	1174	1249	1299	1207
51102	241	243	261	225
10076	723	707	1459	1278
101928460	0	0	1	0
107984933	0	0	0	0
107984934	0	0	0	0
101929406	0	0	0	0
105378617	0	0	0	0
105378618	0	0	0	0
4146	6	8	13	16
100129196	9	10	28	29
7805	9	6	11	12
100616164	0	0	0	0
105378620	0	0	0	2
105378621	0	0	0	0
105378622	0	0	0	0
400748	0	0	0	0
9672	302	263	499	459
9698	1347	1384	1620	1478
692234	3	7	6	5
692235	7	6	5	5
692200	1	0	2	1
107984935	1	2	0	0
79570	0	0	0	0
9410	1412	1449	976	945
51538	450	426	322	375
2170	15	13	6	18
105378623	0	0	0	0
107985470	0	0	1	0
347735	5320	5326	6310	5262
105378625	1	0	0	0
105379772	0	0	0	0
149086	0	0	0	0
284551	0	0	0	0
105378626	111	96	74	67
64129	3001	2895	3266	2836
3061	101	105	96	77
553115	990	961	760	696
107985471	43	31	20	22
105378628	1	0	3	0
1307	65	53	100	87
101929444	1	1	1	0
576	166	148	559	499
100423028	0	0	0	0
90853	30	48	79	61
8073	2416	2206	1582	1597
10657	4010	3859	2814	2580
55116	553	637	586	514
100847018	0	0	0	0
23633	1476	1427	1611	1425
200081	2999	2915	2052	1737
79140	6	7	16	15
56063	69	70	81	78
55721	74	80	64	94
149069	8	5	5	10
8668	6402	6456	6720	6010
339483	37	20	79	52
84734	4	0	25	21
3932	55	64	97	86
3065	3081	2910	2539	2239
65108	250	294	237	213
105378629	1	1	2	4
81629	79	68	180	154
100128071	36	21	66	46
55108	888	915	1183	1042
728116	0	0	0	0
653121	200	154	205	174
102723870	4	3	3	1
339487	353	385	246	249
5928	2054	1948	1740	1678
81493	401	349	317	285
57648	3126	3231	4280	3901
8565	3545	3629	4273	3796
64766	204	173	406	412
252995	3	1	7	7
105378631	1	2	4	1
3208	19	19	23	21
113452	1281	1276	1440	1163
105378632	0	0	0	0
127544	583	593	1024	889
204	3954	3783	3821	3488
105378635	0	0	0	0
113451	55	77	133	128
112268224	3	1	14	6
55223	418	420	424	376
149076	549	497	535	487
127550	1	1	0	0
1912	2036	2162	1851	1658
100500853	75	73	62	60
101929464	6	8	11	6
7579	68	69	77	69
114784	0	0	1	0
105378638	0	0	0	0
127540	0	0	0	0
402779	0	0	0	0
84970	0	0	0	0
105378639	0	0	0	0
105378640	0	0	0	0
105378641	0	0	0	0
693137	0	0	0	0
105378642	0	2	1	0
2709	277	264	331	266
127534	12	19	19	12
2707	1235	1399	933	799
2701	0	0	0	0
113444	747	829	647	566
58512	55	49	223	176
653160	9	3	46	39
100506144	141	155	231	197
9204	176	160	124	159
79830	379	351	388	381
105378644	0	0	0	0
6421	9221	8992	3807	3364
9202	419	421	398	346
100861513	6	11	4	8
79932	827	754	1235	1169
23154	1376	1397	850	781
339488	31	31	73	48
105378645	4	10	8	4
5690	3489	3388	2631	2484
105378646	0	0	1	0
127703	357	345	328	321
63967	998	844	393	429
192670	149	151	201	174
26523	1149	1162	1236	1104
192669	576	519	698	634
105378647	0	0	0	1
27285	0	2	4	1
54936	929	943	803	752
1296	1	1	3	2
27095	894	883	761	715
55700	4213	4178	3792	3361
9967	3093	2991	1744	1741
79729	131	130	187	162
55194	44	32	57	56
83931	1423	1397	1176	1078
84967	550	577	560	520
127700	21	20	51	46
109616970	0	0	1	0
107984940	2	0	1	7
64960	1464	1421	1228	1090
1441	0	0	0	0
107984941	0	0	0	0
105378648	0	0	0	0
2899	0	0	0	0
100422898	0	0	0	0
107984942	0	0	0	0
728431	22	41	52	46
80149	186	128	139	119
102465438	3	1	3	2
64769	723	688	781	741
100847010	5	3	0	1
105378649	25	25	21	23
79753	380	335	318	285
7802	2	3	3	4
29889	1044	984	656	684
284654	0	0	0	0
54955	508	492	489	414
55143	1470	1579	1069	975
284656	85	98	173	171
105378650	0	0	0	0
149175	891	972	869	755
79693	730	789	585	606
127687	826	838	690	598
4520	855	748	846	828
3633	290	268	315	285
105378651	0	3	6	0
10946	3094	3049	2210	1907
2275	281	260	370	308
51118	881	866	547	551
5453	0	0	0	0
107985103	0	0	0	0
105378653	0	0	0	0
100500801	0	0	0	0
105378655	0	0	0	0
105378654	0	0	0	0
339442	0	0	0	0
105378657	0	0	0	0
107984943	0	0	0	0
105378656	0	0	0	0
105378658	0	0	0	0
105378660	0	0	0	0
64121	377	324	325	284
100527950	338	308	186	199
26292	338	308	183	195
105378663	0	1	1	1
81025	2	1	4	3
54933	0	1	0	3
105378662	0	1	0	1
79647	1137	1108	994	855
4725	1344	1478	1283	1074
23499	2476	2390	2922	3046
643314	142	149	255	235
105378950	0	0	0	0
353500	47	44	56	34
192217	4	5	6	2
728448	70	80	75	73
8761	5952	5806	3970	3623
101929516	788	759	535	477
677834	5	6	4	5
26508	0	0	0	0
84618	0	0	0	0
51440	1	0	0	0
10450	402	436	469	410
656	57	45	84	85
64064	17	11	20	11
105378666	2	0	0	0
101929536	10	10	16	4
105378951	3	5	13	10
107985740	2	3	4	2
105378665	2	1	3	4
105378667	0	0	0	0
54802	345	331	314	297
4610	74	67	188	203
105378668	6	6	15	18
84879	244	271	165	117
105378669	3	1	3	3
10487	5546	5437	4728	4176
5538	4863	4639	3984	3588
105378671	0	0	0	0
6018	328	264	183	200
127391	1	0	0	0
10269	1185	1007	542	555
1298	72	83	54	50
107984945	0	0	0	0
64744	596	644	661	617
65243	98	92	97	111
339559	98	78	76	70
105378672	5	2	0	2
64789	145	127	75	69
127396	91	46	47	43
105378673	0	0	0	0
9783	293	347	548	547
105378675	4	2	16	13
105378674	0	0	0	0
100130557	82	74	80	64
4802	838	905	646	584
407034	0	0	1	3
407031	1	1	0	0
9132	9	22	16	12
105378676	0	0	0	0
163732	48	43	106	95
1503	2244	2113	1314	1174
100507178	77	68	62	56
200172	53	75	39	29
22955	567	540	608	526
100132074	127	184	184	161
101929901	2	1	0	0
105378678	3	0	0	1
1907	2	4	0	2
59269	357	412	423	363
2981	0	0	0	0
2980	0	0	0	0
22887	1218	1040	1128	984
284716	0	0	0	0
84217	0	2	1	1
728621	63	58	87	61
79717	437	390	521	436
10465	944	940	834	720
4904	11823	11934	10486	9306
149461	0	0	0	0
64175	369	396	642	577
79078	137	118	89	82
105378683	2	2	4	3
100129924	3	5	8	7
107984946	0	2	2	1
374969	112	102	58	62
114625	110	108	84	98
51058	124	110	135	108
339539	0	0	0	0
6513	4546	4528	4669	4058
440584	2	8	19	17
440585	13	8	14	11
10969	4597	4394	3152	2865
102465439	4	2	1	2
149465	13	13	10	19
105378685	3	4	1	6
128218	207	208	476	365
149466	151	140	322	292
7075	0	0	1	0
4352	2	1	5	4
105378687	9	17	34	36
991	5898	6088	3581	3075
64834	1427	1546	1457	1254
102466723	2	3	1	1
112268225	4	3	7	8
112950	742	749	860	715
107984947	135	126	120	110
23334	948	1027	1355	1244
100873952	36	26	45	33
102465440	1	1	0	1
81888	325	368	312	262
5792	13603	14030	19144	16823
9682	898	923	1239	1063
100132774	87	90	123	92
6487	73	73	120	90
101929592	0	0	3	0
102464830	0	0	0	0
9048	5	8	15	14
105378688	34	18	40	28
101929609	104	104	128	95
9670	730	723	801	645
1802	2538	2619	1465	1239
533	1324	1288	1045	954
8704	1640	1741	1556	1380
149473	163	132	181	183
6536	263	270	581	481
107984948	6	2	27	14
128209	0	0	0	1
105378952	1	0	0	0
55929	411	430	312	290
79033	1109	1089	1112	963
100874278	15	7	18	19
106635545	0	1	1	0
55182	1321	1416	1197	1101
107984951	0	1	2	0
100847089	0	0	0	0
107984950	392	455	366	330
79639	79	74	81	82
109623472	0	0	2	0
339541	1	1	5	2
105378690	2	3	9	4
26828	0	0	0	0
26830	0	0	0	0
11004	2406	2366	2074	1843
109623476	7	1	8	2
6202	8967	8632	8425	7539
26811	38	19	8	20
94161	5	10	3	3
94162	2	1	3	6
94163	11	9	11	7
266675	0	1	0	1
1263	193	171	154	122
343521	10	17	25	24
149478	6	8	18	17
107984952	5	0	1	2
8643	10	5	12	10
8891	396	370	335	354
79654	548	536	563	540
7389	640	685	660	589
57643	15	10	4	10
105378691	3	2	3	5
400752	3	2	3	5
84842	0	5	1	0
4595	229	237	203	220
114034	539	534	196	179
10420	43	42	105	81
126661	47	71	77	82
25974	1209	1233	886	795
5052	5594	5560	4353	4043
10327	908	884	1250	1145
4678	2921	2757	1857	1792
149483	10	13	15	13
60313	1162	1184	1398	1342
728963	2	3	10	6
51249	595	600	560	539
3652	184	147	159	211
105378693	0	0	0	0
23139	1277	1305	1548	1410
105378694	0	0	0	0
110117499	51	53	20	20
8503	62	65	23	23
101929626	0	0	0	0
10103	272	283	358	358
110117498	0	0	0	0
55624	1718	1666	2014	1758
541468	2	1	0	0
8438	705	689	812	699
10489	812	954	996	847
7388	3171	2956	2900	2845
387338	427	485	577	478
2166	4	6	11	8
729041	0	0	3	1
101929651	0	0	0	0
127343	2	3	4	9
105378696	0	0	0	0
100507423	58	55	39	45
148930	0	0	0	0
8569	645	619	444	412
148932	291	263	293	255
105378697	0	0	1	0
64756	832	798	646	555
374973	0	1	0	0
100130197	48	55	46	43
9813	1543	1443	1407	1354
105378698	4	5	2	4
105378699	0	2	0	0
1580	1	2	11	5
163720	0	0	0	0
1579	0	0	0	0
260293	0	0	0	1
199974	1	0	1	0
284541	0	1	0	3
105378701	4	1	1	4
100874253	3	0	3	3
10158	0	0	2	0
6886	0	0	0	0
6491	1064	988	733	842
51727	2342	2103	1639	1638
102724077	11	24	29	36
2301	1	2	3	1
84793	132	153	284	271
2306	9	26	26	37
107984953	0	0	0	0
388630	0	0	0	0
105379778	0	0	0	0
391037	0	0	0	0
200010	0	0	0	0
54558	0	0	0	0
84871	0	0	0	0
79656	0	0	0	0
105378706	0	0	0	0
101929721	0	0	0	0
100874313	0	0	0	0
107984954	0	0	0	0
105378708	0	0	0	0
1996	0	0	0	0
105378709	0	0	0	0
107984955	0	0	0	0
105378711	0	0	0	0
105378710	0	0	0	0
105378712	0	0	0	0
63950	3	1	0	0
105378714	0	0	0	1
11124	1477	1301	1238	1159
105378715	3	3	6	7
112268262	2	1	0	2
1031	491	426	419	363
100616189	0	0	0	0
102466656	0	0	0	0
284546	1	0	0	0
105378716	0	1	0	0
26994	1161	1037	924	896
22996	13	11	12	16
105378717	0	0	0	0
102724097	0	0	1	0
2060	671	617	629	647
105378720	0	2	3	1
441884	2	2	2	1
105378719	0	0	0	0
114883	934	863	745	822
4898	2360	2223	2026	1981
105378721	124	101	89	93
100313892	14	7	12	11
5865	2	1	0	0
51060	1394	1280	1571	1430
112970	214	214	101	95
104355143	1	2	1	1
91408	911	926	669	617
107984956	0	0	0	1
9372	385	356	408	426
200014	738	760	610	555
4998	845	868	573	497
84950	1145	1108	667	702
23318	511	429	501	515
105378723	0	0	0	0
2882	0	0	0	0
348378	0	0	0	0
65260	1038	1016	384	374
79699	310	325	440	392
440590	13	9	9	4
55268	257	250	393	373
6342	513	412	440	410
127435	0	0	0	0
6512	0	0	0	1
105378724	0	0	0	0
1376	771	714	583	467
54987	398	416	296	293
4116	656	600	368	338
100507564	13	8	8	8
7804	1113	1064	1119	1070
105378728	40	50	41	43
105378726	126	119	74	47
105378732	1	0	0	2
105378731	4	0	0	2
105378730	5	2	0	2
